WKT,Улица_у_којој_се_налази _паркиралиште,Ознака_паркиралишта_од/до,Зона_паркиралишта,Цена_паркинг_карте_по започетом сату,СМС_уплата_за карту_по започетом_сату_на_број,Временско_ограничење_у_зони паркирања,Цена_вишесатне_карте,СМС_уплата_за_вишесатну_карту_на_број,Карактер_паркиралишта,лат_ паркиралишта,лон_паркиралишта,Број_паркинг_места,Број паркинг места за особе са инвалидитетом,Број_резервисаних_паркинг_места
"POINT (21.901755 43.323573)",7. јула,Трг краља Милана/Краља Стефана Првовенчаног (1-25а и 2-24),"1",50/150,"9181",Да,"500","9184",Улично,43.323573,21.901755,"35","2","11"
"POINT (21.893169 43.317304)",Александра Ненадовића,Александра Ненадовића,"1",50/150,"9181",Да,"500","9184",Улично,43.317304,21.893169,"20","0","4"
"POINT (21.894939 43.321082)",Балканска,Балканска,"1",50/150,"9181",Да,"500","9184",Улично,43.321082,21.894939,"15","0","2"
"POINT (21.893012 43.318333)",Боривоја Гојковића,Боривоја Гојковића,"1",50/150,"9181",Да,"500","9184",Улично,43.318333,21.893012,"17","0","0"
"POINT (21.894666 43.316936)",Цара Душана,Обреновићева/Мије Петровића (1-47б и 2-62),"1",50/150,"9181",Да,"500","9184",Улично,43.316936,21.894666,"92","2","6"
"POINT (21.894666 43.316936)",Давидова,Давидова,"1",50/150,"9181",Да,"500","9184",Улично,43.316936,21.894666,"12","0","5"
"POINT (21.89373 43.319643)",Дрварска,Дрварска,"1",50/150,"9181",Да,"500","9184",Улично,43.319643,21.89373,"18","0","0"
"POINT (21.89832 43.319568)",Генерала Транијеа,Генерала Транијеа,"1",50/150,"9181",Да,"500","9184",Улично,43.319568,21.89832,"37","0","0"
"POINT (21.895859 43.31946)",Караџићева,Караџићева,"1",50/150,"9181",Да,"500","9184",Улично,43.31946,21.895859,"13","0","5"
"POINT (21.897714 43.317417)",Косте Стаменковића,Николе Пашића/Цара Душана (1-7 и 2-6),"1",50/150,"9181",Да,"500","9184",Улично,43.317417,21.897714,"15","0","0"
"POINT (21.900875 43.321187)",Краља Стефана Првовенчаног,Синђелићев трг/7. јула (1-17 и2-36),"1",50/150,"9181",Да,"500","9184",Улично,43.321187,21.900875,"30","0","4"
"POINT (21.900097 43.32148)",Лоле Рибара,Синђелићев трг/7. јула (1-13 и 2-16),"1",50/150,"9181",Да,"500","9184",Улично,43.32148,21.900097,"27","0","0"
"POINT (21.900164 43.322874)",Мачванска,Краља СтефанаПрвовенчаног/7. јула (1-15 и 2-16),"1",50/150,"9181",Да,"500","9184",Улично,43.322874,21.900164,"19","0","0"
"POINT (21.892607 43.32032)",Милорада Вељковића Шпаје,Милорада Вељковића Шпаје,"1",50/150,"9181",Да,"500","9184",Улично,43.32032,21.892607,"36","0","1"
"POINT (21.896459 43.319783)",Наде Томић,Наде Томић,"1",50/150,"9181",Да,"500","9184",Улично,43.319783,21.896459,"44","0","57"
"POINT (21.899104 43.318275)",Николе Пашића,без екстра зоне (1-27 и 2-22) (61-67 и 46-50),"1",50/150,"9181",Да,"500","9184",Улично,43.318275,21.899104,"86","0","6"
"POINT (21.892984 43.316686)",Обилићев венац,Момчила поповића/Обреновићева (3),"1",50/150,"9181",Да,"500","9184",Улично,43.316686,21.892984,"31","1","0"
"POINT (21.898415 43.322317)",Орловића Павла,Вождове/7. јула (1-7 и 2 -22),"1",50/150,"9181",Да,"500","9184",Улично,43.322317,21.898415,"41","2","0"
"POINT (21.90013 43.321175)",Синђелићев Трг,Код Дечије библиотеке,"1",50/150,"9181",Да,"500","9184",Улично,43.321175,21.90013,"14","2","0"
"POINT (21.899454 43.319794)",Синђелићев Трг,Слепи завршетак,"1",50/150,"9181",Да,"500","9184",Улично,43.319794,21.899454,"5","0","0"
"POINT (21.893075 43.320828)",Скопљанска,Скопљанска,"1",50/150,"9181",Да,"500","9184",Улично,43.320828,21.893075,"9","0","0"
"POINT (21.897675 43.321157)",Страхињића Бана,Страхињића Бана,"1",50/150,"9181",Да,"500","9184",Улично,43.321157,21.897675,"49","0","1"
"POINT (21.901129 43.323225)",Светосавска,7. јула/КраљаСтефанаПрвовенчаног (1-7а и 2-8),"1",50/150,"9181",Да,"500","9184",Улично,43.323225,21.901129,"9","0","0"
"POINT (21.895486 43.319523)",Светозара Марковића,Светозара Марковића,"1",50/150,"9181",Да,"500","9184",Улично,43.319523,21.895486,"60","2","26"
"POINT (21.893456 43.317015)",Трг Павла Стојковића,Трг Павла Стојковића,"1",50/150,"9181",Да,"500","9184",Улично,43.317015,21.893456,"24","0","0"
"POINT (21.895615 43.32213)",Трг Петра Бојовића,Паркиралиште сплав,"1",50/150,"9181",Да,"500","9184",Улично,43.32213,21.895615,"32","0","0"
